[CANONICAL] Test A Stage 1 — EURUSD, split 2022-01-01..2024-12-31, TFs: D1, H4, H1, M15
  D1: 938 bars
  H4: 4833 bars
  H1: 18730 bars
  M15: 74770 bars

Stage-1 verdict registry
================================================================================================
tf    event_type                          n   evMFE   ctMFE  effect   hit%  ctHit%        p  verdict
D1    bull_flag_breakout                 10   2.220   2.700  -0.480  50.0%   52.0%   0.7626  parked_insufficient_n
D1    bearish_fvg_touch                  65   3.024   3.274  -0.251  44.6%   50.5%   0.7786  parked_insufficient_n
D1    pwl_touch                          77   2.654   2.853  -0.198  42.9%   50.4%   0.7831  parked_insufficient_n
H1    symmetrical_triangle_breakout_up      2   0.927   2.222  -1.294   0.0%   50.0%   0.7976  parked_insufficient_n
H4    rising_wedge_breakdown              7   2.308   2.976  -0.669  42.9%   71.4%   0.7991  parked_insufficient_n
H4    ascending_triangle_breakout         2   1.205   2.268  -1.063   0.0%   70.0%   0.8001  parked_insufficient_n
H4    bearish_ob_touch                   71   2.542   2.790  -0.248  47.9%   50.1%   0.8236  parked_insufficient_n
D1    bull_pin                           31   2.547   2.912  -0.366  58.1%   54.2%   0.8241  parked_insufficient_n
D1    three_black_crows                   6   2.179   3.207  -1.027  33.3%   46.7%   0.8241  parked_insufficient_n
H1    triple_top_completion              10   1.852   2.585  -0.733  30.0%   50.0%   0.8241  parked_insufficient_n
H1    double_top_completion              81   2.249   2.526  -0.278  39.5%   50.4%   0.8256  parked_insufficient_n
H4    triple_top_completion               9   2.575   3.298  -0.723  66.7%   55.6%   0.8331  parked_insufficient_n
D1    entered_premium                    15   2.598   3.195  -0.597  46.7%   44.0%   0.8351  parked_insufficient_n
H4    equal_highs_pool                   34   2.355   2.778  -0.423  52.9%   47.6%   0.8371  parked_insufficient_n
D1    equal_highs_pool                    7   2.433   3.352  -0.919  71.4%   57.1%   0.8526  parked_insufficient_n
H4    ntouch_support_touch               90   2.503   2.762  -0.259  54.4%   49.1%   0.8571  parked_insufficient_n
H4    bullish_ob_touch                   60   2.348   2.659  -0.312  50.0%   50.0%   0.8576  parked_insufficient_n
D1    bear_engulfing                     78   3.031   3.361  -0.330  43.6%   47.7%   0.8661  parked_insufficient_n
M15   triple_top_completion              83   2.143   2.499  -0.356  50.6%   48.2%   0.8696  parked_insufficient_n
D1    fib_ext_1272_tag                   18   2.709   3.468  -0.759  61.1%   45.6%   0.8791  parked_insufficient_n
D1    equal_lows_pool                     6   1.670   3.088  -1.418  33.3%   40.0%   0.8876  parked_insufficient_n
H4    choch_bullish                      55   2.284   2.644  -0.360  49.1%   50.9%   0.8896  parked_insufficient_n
D1    trendline_break_retest_bearish     13   2.481   3.493  -1.012  15.4%   44.6%   0.8901  parked_insufficient_n
H4    bull_flag_breakout                 63   2.249   2.630  -0.381  44.4%   50.2%   0.9055  parked_insufficient_n
H4    inverse_hs_completion               5   1.426   2.865  -1.439  20.0%   60.0%   0.9080  parked_insufficient_n
H4    three_white_soldiers               21   2.077   2.720  -0.643  28.6%   54.3%   0.9200  parked_insufficient_n
D1    sr_flip_support                    53   2.347   2.757  -0.410  28.3%   49.4%   0.9250  parked_insufficient_n
H1    ascending_triangle_breakout         3   1.234   2.920  -1.686   0.0%   60.0%   0.9280  parked_insufficient_n
H4    bear_flag_breakout                 86   2.365   2.739  -0.374  46.5%   50.2%   0.9340  parked_insufficient_n
H4    trendline_liquidity_sweep_high     41   2.112   2.647  -0.534  48.8%   46.3%   0.9360  parked_insufficient_n
H1    falling_wedge_breakout             42   2.033   2.595  -0.562  42.9%   58.6%   0.9495  parked_insufficient_n
D1    supply_zone_touch                   9   1.862   3.161  -1.299  44.4%   51.1%   0.9600  parked_insufficient_n
D1    channel_bottom_touch               99   2.312   2.718  -0.406  44.4%   50.9%   0.9790  parked_insufficient_n
D1    tweezer_top                        71   2.503   3.170  -0.667  29.6%   51.0%   0.9895  parked_insufficient_n
D1    channel_top_touch                  99   2.484   3.305  -0.821  40.4%   49.5%   0.9995  parked_insufficient_n
M15   three_black_crows                 576   2.803   2.609  +0.193  47.2%   49.5%   0.0530  dead
M15   liquidity_sweep_low               300   2.806   2.561  +0.245  46.3%   48.5%   0.0540  dead
M15   choch_bullish                     959   2.567   2.429  +0.137  45.5%   47.4%   0.0655  dead
H4    shooting_star                     207   2.786   2.595  +0.191  50.2%   50.1%   0.0960  dead
M15   bullish_fvg_touch                4859   2.424   2.374  +0.050  48.7%   47.2%   0.0970  dead
H1    pdh_touch                         813   2.723   2.609  +0.114  48.8%   49.0%   0.0985  dead
H1    channel_top_touch                1937   2.708   2.633  +0.075  48.5%   48.2%   0.1039  dead
M15   fib_ext_1618_tag                  582   2.798   2.654  +0.144  56.7%   48.0%   0.1054  dead
M15   double_bottom_completion          512   2.580   2.438  +0.141  50.4%   48.5%   0.1089  dead
H1    trendline_support_touch           938   2.626   2.526  +0.100  45.8%   49.5%   0.1094  dead
H1    fib_786_tag                       400   2.729   2.581  +0.148  48.2%   48.7%   0.1129  dead
H4    sr_flip_resistance                282   2.707   2.555  +0.152  55.0%   47.7%   0.1299  dead
H1    ote_tag                           515   2.794   2.658  +0.137  52.4%   48.2%   0.1319  dead
M15   fib_618_tag                      1939   2.627   2.559  +0.068  48.8%   48.2%   0.1449  dead
M15   inversion_fvg_bearish            5565   2.536   2.496  +0.041  47.5%   47.9%   0.1449  dead
H1    ntouch_resistance_touch           350   2.579   2.449  +0.130  50.6%   46.8%   0.1464  dead
M15   fib_ext_1272_tag                 1042   2.884   2.788  +0.096  51.3%   48.3%   0.1489  dead
H1    bos_bullish                       232   2.810   2.626  +0.183  43.1%   51.3%   0.1569  dead
M15   bearish_fvg_touch                4832   2.466   2.425  +0.041  46.7%   47.1%   0.1579  dead
M15   pdl_touch                        1477   2.592   2.529  +0.064  51.0%   48.0%   0.1814  dead
H1    bear_pin                         1043   2.786   2.712  +0.074  46.1%   48.6%   0.1844  dead
H1    shooting_star                     877   2.744   2.670  +0.074  43.9%   46.2%   0.1874  dead
H4    trendline_resistance_touch        298   2.673   2.555  +0.118  47.3%   48.3%   0.1909  dead
H1    fib_50_tag                        583   2.771   2.686  +0.085  49.9%   46.8%   0.2009  dead
H4    inversion_fvg_bullish             353   2.537   2.442  +0.095  46.5%   45.8%   0.2084  dead
M15   fib_50_tag                       2108   2.571   2.519  +0.051  48.6%   47.0%   0.2129  dead
M15   breaker_resistance_retest        1936   2.454   2.408  +0.046  46.9%   48.3%   0.2149  dead
H4    pdh_touch                         424   2.650   2.573  +0.077  47.2%   48.2%   0.2399  dead
M15   bull_flag_breakout                830   2.363   2.299  +0.064  46.3%   46.0%   0.2409  dead
H1    fib_618_tag                       515   2.794   2.710  +0.084  52.4%   50.2%   0.2444  dead
M15   three_white_soldiers              613   2.676   2.600  +0.076  44.7%   48.7%   0.2484  dead
M15   evening_star                     1079   2.524   2.469  +0.055  48.6%   47.4%   0.2539  dead
H4    channel_top_touch                 590   2.670   2.607  +0.062  45.4%   48.4%   0.2544  dead
H4    breaker_resistance_retest         131   2.692   2.567  +0.125  51.1%   51.3%   0.2574  dead
M15   equal_lows_pool                   723   2.331   2.269  +0.062  49.9%   47.6%   0.2579  dead
M15   falling_wedge_breakout            105   2.479   2.341  +0.138  49.5%   47.2%   0.2714  dead
H1    sr_flip_support                  1107   2.407   2.366  +0.041  45.1%   48.5%   0.2819  dead
M15   bull_engulfing                   5864   2.354   2.335  +0.019  47.0%   47.5%   0.2824  dead
M15   fib_786_tag                      1527   2.698   2.656  +0.042  48.4%   47.7%   0.2889  dead
H4    pwl_touch                         141   2.572   2.471  +0.101  49.6%   48.6%   0.2929  dead
H1    bull_pin                          988   2.663   2.626  +0.037  47.3%   49.9%   0.3198  dead
M15   inversion_fvg_bullish            5502   2.468   2.452  +0.017  47.7%   47.5%   0.3243  dead
H1    asia_low_sweep                    370   2.718   2.662  +0.056  50.5%   47.6%   0.3258  dead
M15   asia_low_sweep                    427   3.032   2.972  +0.060  55.5%   49.3%   0.3283  dead
H4    bull_pin                          261   2.572   2.512  +0.060  47.9%   46.4%   0.3293  dead
H1    trendline_liquidity_sweep_low     125   2.510   2.432  +0.078  56.0%   48.0%   0.3398  dead
D1    round_number_touch                202   3.200   3.135  +0.065  53.5%   49.2%   0.3433  dead
H1    pwh_touch                         245   2.532   2.474  +0.058  51.0%   48.8%   0.3533  dead
H4    tweezer_bottom                    407   2.561   2.521  +0.040  49.4%   48.5%   0.3708  dead
H1    outside_bar_bull                  723   2.756   2.728  +0.029  46.6%   48.9%   0.3808  dead
H4    fib_618_tag                       150   2.621   2.568  +0.053  50.0%   48.5%   0.3813  dead
H1    choch_bullish                     209   2.445   2.412  +0.033  44.5%   50.0%   0.4123  dead
H1    morning_star                      220   2.406   2.376  +0.030  45.9%   46.2%   0.4238  dead
M15   ote_tag                          1939   2.627   2.615  +0.012  48.8%   47.8%   0.4313  dead
M15   morning_star                     1121   2.433   2.420  +0.014  47.4%   47.4%   0.4338  dead
H4    ote_tag                           150   2.621   2.607  +0.014  50.0%   45.2%   0.4508  dead
M15   choch_bearish                     960   2.584   2.573  +0.011  46.9%   48.8%   0.4538  dead
H1    fib_ext_1272_tag                  283   2.501   2.482  +0.019  49.1%   47.0%   0.4573  dead
H1    double_bottom_completion          106   2.635   2.607  +0.027  44.3%   48.9%   0.4698  dead
M15   bos_bearish                       854   2.555   2.548  +0.007  44.6%   47.4%   0.4743  dead
H1    asia_high_sweep                   377   2.844   2.840  +0.004  44.3%   49.0%   0.4918  dead
H4    tweezer_top                       412   2.528   2.528  +0.000  49.3%   49.6%   0.4943  dead
