event_time,title,k,atr_pips,impulse_pips,atr_mult,direction,risk_pips,pnl_1.5,pnl_2.5
2016-06-16T12:30:00+00:00,Consumer Price Index,2,10.414583333333445,-6.499999999998174,0.6241248249648109,-1,17.199999999999438,24.600000000000268,-18.399999999999437
2016-07-08T12:30:00+00:00,Employment Situation (NFP),2,7.263541666666697,-45.80000000000028,6.305463932310352,-1,52.90000000000017,-54.10000000000017,-54.10000000000017
2016-07-15T12:30:00+00:00,Consumer Price Index,2,7.610416666666749,-17.199999999999438,2.2600602244729373,-1,16.700000000000603,23.850000000002016,40.550000000000395
2016-07-27T18:00:00+00:00,FOMC Statement (scheduled),2,5.357291666666606,4.3999999999999595,0.8213105191522475,1,39.89999999999938,58.64999999999907,84.80000000000163
2016-08-05T12:30:00+00:00,Employment Situation (NFP),2,4.43750000000002,-64.9999999999995,14.647887323943483,-1,66.59999999999889,-1.3999999999990898,-1.3999999999990898
2016-08-16T12:30:00+00:00,Consumer Price Index,2,5.702083333333311,-15.600000000000058,2.7358421629521583,-1,43.400000000000105,-1.7999999999994898,-1.7999999999994898
2016-09-02T12:30:00+00:00,Employment Situation (NFP),2,6.230208333333302,34.399999999998876,5.521484701554772,1,41.29999999999967,-42.49999999999967,-42.49999999999967
2016-09-16T12:30:00+00:00,Consumer Price Index,2,5.636458333333206,-38.599999999999746,6.848272038440325,-1,38.599999999999746,26.699999999998482,26.699999999998482
2016-09-21T18:00:00+00:00,FOMC Statement (scheduled),2,5.665624999999993,7.599999999998719,1.3414230557085454,1,29.799999999999827,-30.999999999999826,-30.999999999999826
2016-10-07T12:30:00+00:00,Employment Situation (NFP),2,7.364583333333077,33.99999999999848,4.61669024045257,1,54.499999999999545,24.000000000000778,24.000000000000778
2016-10-18T12:30:00+00:00,Consumer Price Index,2,5.242708333333378,-14.100000000001334,2.6894496324262196,-1,32.2,-11.600000000001518,-11.600000000001518
2016-11-02T18:00:00+00:00,FOMC Statement (scheduled),2,6.318750000000063,-0.2999999999997449,0.04747774480708082,-1,18.000000000000238,-19.200000000000237,-19.200000000000237
2016-11-04T12:30:00+00:00,Employment Situation (NFP),2,6.079166666666825,-5.299999999999194,0.8718300205618735,-1,10.999999999998789,-12.199999999998788,-12.199999999998788
2016-11-17T13:30:00+00:00,Consumer Price Index,2,9.67395833333331,-30.90000000000037,3.1941423495208814,-1,43.600000000001415,64.20000000000212,92.59999999999944
2016-12-02T13:30:00+00:00,Employment Situation (NFP),2,8.36354166666678,-8.60000000000083,1.0282725121435652,-1,37.00000000000037,-38.20000000000037,-38.20000000000037
2016-12-14T19:00:00+00:00,FOMC Statement (scheduled),2,7.706250000000131,-61.49999999999878,7.980535279805058,-1,61.99999999999983,91.80000000000085,91.80000000000085
2016-12-15T13:30:00+00:00,Consumer Price Index,2,14.276041666666655,15.300000000000313,1.071725647573901,1,23.000000000001908,-24.200000000001907,-24.200000000001907
2017-01-06T13:30:00+00:00,Employment Situation (NFP),2,9.850000000000067,-44.10000000000025,4.477157360406086,-1,78.20000000000161,0.7999999999997798,0.7999999999997798
2017-01-18T13:30:00+00:00,Consumer Price Index,2,7.840625000000064,5.60000000000116,0.7142287764050842,1,13.000000000000789,18.300000000001184,31.300000000001976
2017-02-01T19:00:00+00:00,FOMC Statement (scheduled),2,6.963541666666698,32.2,4.624083769633488,1,39.80000000000095,23.099999999999323,23.099999999999323
2017-02-03T13:30:00+00:00,Employment Situation (NFP),2,7.028125000000108,20.500000000001073,2.9168519341930828,1,44.39999999999999,22.600000000000488,22.600000000000488
2017-02-15T13:30:00+00:00,Consumer Price Index,2,6.548958333333308,-19.200000000001438,2.9317639573725867,-1,17.100000000001003,-18.300000000001003,-18.300000000001003
2017-03-10T13:30:00+00:00,Employment Situation (NFP),2,7.491666666666641,43.999999999999595,5.87319243604001,1,47.399999999999665,34.99999999999956,34.99999999999956
2017-03-15T12:30:00+00:00,Consumer Price Index,2,4.9479166666667,-9.299999999998754,1.8795789473681566,-1,9.299999999998754,-10.499999999998753,-10.499999999998753
2017-03-15T18:00:00+00:00,FOMC Statement (scheduled),2,5.036458333333369,55.79999999999919,11.079214064115583,1,60.09999999999849,51.20000000000133,51.20000000000133
2017-04-07T12:30:00+00:00,Employment Situation (NFP),2,4.9229166666666515,-13.399999999998968,2.721963605585918,-1,45.89999999999872,41.7999999999997,41.7999999999997
2017-04-14T12:30:00+00:00,Consumer Price Index,2,4.259375000000033,16.100000000001113,3.7798972854000854,1,16.100000000001113,-17.300000000001113,-17.300000000001113
2017-05-03T18:00:00+00:00,FOMC Statement (scheduled),2,4.610416666666594,-17.499999999999183,3.795752372345116,-1,32.099999999999355,3.7000000000010145,3.7000000000010145
2017-05-05T12:30:00+00:00,Employment Situation (NFP),2,6.047916666666714,17.899999999999583,2.959696865311655,1,29.29999999999877,-13.099999999998023,-13.099999999998023
2017-05-12T12:30:00+00:00,Consumer Price Index,2,4.678124999999931,34.09999999999913,7.289245156980549,1,34.09999999999913,17.099999999999984,17.099999999999984
2017-06-02T12:30:00+00:00,Employment Situation (NFP),2,4.539583333333444,54.199999999999804,11.939421753097417,1,54.199999999999804,1.700000000001235,1.700000000001235
2017-06-14T12:30:00+00:00,Consumer Price Index,2,4.504166666666569,59.39999999999834,13.187789084181233,1,60.2999999999998,-61.4999999999998,-61.4999999999998
2017-06-14T18:00:00+00:00,FOMC Statement (scheduled),2,5.844791666666585,-22.299999999999542,3.815362680449093,-1,40.99999999999993,36.39999999999985,36.39999999999985
2017-07-07T12:30:00+00:00,Employment Situation (NFP),2,5.618749999999987,-9.200000000000319,1.6373748609566792,-1,38.000000000000256,0.09999999999963483,0.09999999999963483
2017-07-14T12:30:00+00:00,Consumer Price Index,2,5.45624999999994,46.599999999998865,8.540664375715808,1,46.599999999998865,2.2000000000000695,2.2000000000000695
2017-07-26T18:00:00+00:00,FOMC Statement (scheduled),2,6.492708333333287,51.20000000000013,7.8857692924756115,1,70.59999999999845,40.09999999999967,40.09999999999967
2017-08-04T12:30:00+00:00,Employment Situation (NFP),2,6.65104166666671,-37.50000000000142,5.638214565387805,-1,37.700000000000514,55.35000000000187,93.05000000000017
2017-08-11T12:30:00+00:00,Consumer Price Index,2,7.261458333333303,49.5000000000001,6.816812508965756,1,53.70000000000097,1.6999999999990145,1.6999999999990145
2017-09-01T12:30:00+00:00,Employment Situation (NFP),2,8.213541666666444,-9.099999999999664,1.1079264426125446,-1,73.70000000000098,24.799999999999358,24.799999999999358
2017-09-14T12:30:00+00:00,Consumer Price Index,2,7.538541666666833,-0.8999999999992347,0.1193864861129261,-1,16.199999999999548,23.099999999999323,-17.399999999999547
2017-09-20T18:00:00+00:00,FOMC Statement (scheduled),2,6.2739583333332645,-108.90000000000066,17.357463058276903,-1,130.9999999999989,13.100000000000424,13.100000000000424
2017-10-06T12:30:00+00:00,Employment Situation (NFP),2,6.011458333333419,-7.999999999999119,1.330791890486752,-1,13.099999999999223,-14.299999999999223,-14.299999999999223
2017-10-13T12:30:00+00:00,Consumer Price Index,2,5.921875000000007,49.20000000000036,8.308179419525116,1,49.69999999999919,-50.899999999999196,-50.899999999999196
2017-11-01T18:00:00+00:00,FOMC Statement (scheduled),2,5.910416666666668,-12.400000000001299,2.0979908353897154,-1,26.600000000001067,-27.800000000001067,-27.800000000001067
2017-11-03T12:30:00+00:00,Employment Situation (NFP),2,5.789583333333399,-4.299999999999304,0.7427132061891482,-1,36.10000000000113,52.950000000001694,42.90000000000025
2017-11-15T13:30:00+00:00,Consumer Price Index,2,7.204166666666423,7.199999999998319,0.9994216310003787,1,16.799999999999038,-17.999999999999037,-17.999999999999037
2017-12-08T13:30:00+00:00,Employment Situation (NFP),2,5.960416666666834,24.199999999998667,4.060118839566248,1,32.59999999999819,12.900000000001334,12.900000000001334
2017-12-13T13:30:00+00:00,Consumer Price Index,2,5.23124999999997,22.299999999999542,4.262843488649877,1,22.899999999999032,33.14999999999854,56.04999999999758
2017-12-13T19:00:00+00:00,FOMC Statement (scheduled),2,5.351041666666612,14.199999999999768,2.6536889234961882,1,21.800000000000708,31.500000000001062,53.300000000001766
2018-01-05T13:30:00+00:00,Employment Situation (NFP),2,5.818749999999817,1.1999999999989797,0.20622986036502983,1,3.6999999999998145,-4.899999999999815,-4.899999999999815
2018-01-12T13:30:00+00:00,Consumer Price Index,2,8.529166666666777,-19.900000000001583,2.3331704934051385,-1,28.500000000000192,-29.70000000000019,-29.70000000000019
2018-01-31T19:00:00+00:00,FOMC Statement (scheduled),2,9.613541666666734,-18.599999999999728,1.9347708310759144,-1,38.19999999999935,6.500000000001594,6.500000000001594
2018-02-02T13:30:00+00:00,Employment Situation (NFP),2,9.582291666666645,-46.800000000000175,4.884009131427359,-1,46.500000000000426,-9.999999999999918,-9.999999999999918
2018-02-14T13:30:00+00:00,Consumer Price Index,2,7.708333333333503,-42.40000000000022,5.500540540540448,-1,46.599999999998865,-47.79999999999887,-47.79999999999887
2018-03-09T13:30:00+00:00,Employment Situation (NFP),2,8.386458333333458,8.60000000000083,1.0254626754441278,1,20.299999999999763,29.249999999999645,16.100000000000094
2018-03-13T12:30:00+00:00,Consumer Price Index,2,5.6979166666666865,26.399999999999757,4.633272394881112,1,34.19999999999979,26.699999999998482,26.699999999998482
2018-03-21T18:00:00+00:00,FOMC Statement (scheduled),2,6.13333333333336,21.299999999999653,3.4728260869564496,1,48.50000000000021,47.40000000000086,47.40000000000086
2018-04-06T12:30:00+00:00,Employment Situation (NFP),2,6.496875000000258,17.599999999999838,2.7089947089945765,1,28.300000000001102,41.25000000000276,25.899999999999903
2018-04-11T12:30:00+00:00,Consumer Price Index,2,6.7229166666665785,-10.300000000000864,1.5320731329409605,-1,21.100000000000563,-1.6999999999988347,-1.6999999999988347
2018-05-02T18:00:00+00:00,FOMC Statement (scheduled),2,7.436458333333201,55.000000000000604,7.395993836672015,1,58.80000000000108,-60.00000000000108,-60.00000000000108
2018-05-04T12:30:00+00:00,Employment Situation (NFP),2,7.1562500000000675,3.5999999999991594,0.5030567685588297,1,14.300000000000423,-15.500000000000423,-15.500000000000423
2018-05-10T12:30:00+00:00,Consumer Price Index,2,7.760416666666714,46.10000000000003,5.940402684563726,1,46.800000000000175,-48.00000000000018,-48.00000000000018
2018-06-01T12:30:00+00:00,Employment Situation (NFP),2,9.858333333333386,-14.000000000000679,1.4201183431953275,-1,29.799999999999827,-18.900000000000492,-18.900000000000492
2018-06-12T12:30:00+00:00,Consumer Price Index,2,7.069791666666491,21.500000000000963,3.0411080005895736,1,25.100000000000122,-26.30000000000012,-26.30000000000012
2018-06-13T18:00:00+00:00,FOMC Statement (scheduled),2,6.215625000000012,-45.89999999999872,7.384615384615166,-1,46.10000000000003,-47.30000000000003,-47.30000000000003
2018-07-06T12:30:00+00:00,Employment Situation (NFP),2,6.652083333333267,26.999999999999247,4.0588787973691725,1,26.699999999999502,11.40000000000039,11.40000000000039
2018-07-12T12:30:00+00:00,Consumer Price Index,2,7.530208333333468,11.400000000001409,1.5139023378062189,1,18.000000000000238,-5.80000000000127,-5.80000000000127
2018-08-01T18:00:00+00:00,FOMC Statement (scheduled),2,5.451041666666734,2.9999999999996696,0.5503535257022065,1,8.599999999998609,-9.799999999998608,-9.799999999998608
2018-08-03T12:30:00+00:00,Employment Situation (NFP),2,5.8562500000001325,7.7000000000015945,1.3148345784420783,1,8.099999999999774,-9.299999999999773,-9.299999999999773
2018-08-10T12:30:00+00:00,Consumer Price Index,2,9.561458333333222,-7.699999999999374,0.8053164832769893,-1,13.900000000000023,19.649999999998926,33.55000000000116
2018-09-07T12:30:00+00:00,Employment Situation (NFP),2,7.01458333333319,-51.09999999999948,7.284823284823359,-1,51.49999999999988,1.4999999999999247,1.4999999999999247
2018-09-13T12:30:00+00:00,Consumer Price Index,2,6.422916666666717,59.499999999999,9.263704184235904,1,59.499999999999,10.8000000000009,10.8000000000009
2018-09-26T18:00:00+00:00,FOMC Statement (scheduled),2,5.160416666666728,-9.100000000001884,1.7634234961650597,-1,41.700000000000074,61.35000000000122,57.699999999999505
2018-10-05T12:30:00+00:00,Employment Situation (NFP),2,6.287499999999996,26.599999999998847,4.230616302186697,1,48.39999999999955,-12.799999999998278,-12.799999999998278
2018-10-11T12:30:00+00:00,Consumer Price Index,2,7.712499999999919,4.299999999999304,0.5575364667746321,1,5.599999999998939,-6.799999999998939,-6.799999999998939
2018-11-02T12:30:00+00:00,Employment Situation (NFP),2,6.97499999999999,-20.799999999998597,2.982078853046398,-1,24.999999999999467,36.2999999999992,26.899999999999793
2018-11-08T19:00:00+00:00,FOMC Statement (scheduled),2,6.975000000000059,-19.299999999999873,2.767025089605693,-1,30.69999999999906,31.199999999999097,31.199999999999097
2018-11-14T13:30:00+00:00,Consumer Price Index,2,7.417708333333379,-12.600000000000389,1.6986378317652435,-1,26.699999999999502,-27.8999999999995,-27.8999999999995
2018-12-07T13:30:00+00:00,Employment Situation (NFP),2,6.879166666666862,21.299999999999653,3.096305269533478,1,21.400000000000308,30.899999999999356,47.0999999999989
2018-12-12T13:30:00+00:00,Consumer Price Index,2,7.556249999999843,17.599999999999838,2.3291976840364206,1,19.800000000000928,7.300000000000174,7.300000000000174
2018-12-19T19:00:00+00:00,FOMC Statement (scheduled),2,6.395833333333415,-40.200000000001346,6.285342019544104,-1,39.80000000000095,-31.90000000000128,-31.90000000000128
2019-01-04T13:30:00+00:00,Employment Situation (NFP),2,7.590625000000068,-32.70000000000106,4.307945656648928,-1,33.30000000000055,-34.500000000000554,-34.500000000000554
2019-01-11T13:30:00+00:00,Consumer Price Index,2,7.112499999999966,-0.20000000000131024,0.02811950790879595,-1,9.099999999999664,12.449999999998386,21.55000000000027
2019-01-30T19:00:00+00:00,FOMC Statement (scheduled),2,5.69479166666662,53.7999999999994,9.44722882751049,1,53.600000000000314,41.29999999999865,41.29999999999865
2019-02-01T13:30:00+00:00,Employment Situation (NFP),2,5.22187500000007,0.5000000000010552,0.09575104727728037,1,20.299999999999763,-21.499999999999762,-21.499999999999762
2019-02-13T13:30:00+00:00,Consumer Price Index,2,5.423958333333432,-14.700000000000824,2.7101978106396265,-1,15.600000000000058,22.200000000000088,37.80000000000014
2019-03-08T13:30:00+00:00,Employment Situation (NFP),2,6.083333333333426,4.500000000000615,0.7397260273973499,1,10.700000000001264,14.850000000003007,1.2999999999986145
2019-03-12T12:30:00+00:00,Consumer Price Index,2,5.698958333333291,15.699999999998493,2.754889416925364,1,15.499999999999403,22.049999999999105,5.400000000001049
2019-03-20T18:00:00+00:00,FOMC Statement (scheduled),2,3.9583333333332904,69.20000000000037,17.48210526315818,1,69.00000000000128,-8.200000000001449,-8.200000000001449
2019-04-05T12:30:00+00:00,Employment Situation (NFP),2,3.7187499999997984,6.300000000001305,1.694117647059266,1,19.200000000001438,-20.400000000001437,-20.400000000001437
2019-04-10T12:30:00+00:00,Consumer Price Index,2,3.7312500000000655,-21.199999999998997,5.68174204355072,-1,31.49999999999986,-21.099999999999362,-21.099999999999362
2019-05-01T18:00:00+00:00,FOMC Statement (scheduled),2,3.497916666666568,12.700000000001044,3.630732578916422,1,25.800000000000267,-27.000000000000266,-27.000000000000266
2019-05-03T12:30:00+00:00,Employment Situation (NFP),2,4.058333333333229,4.8000000000003595,1.1827515400411868,1,24.900000000001032,36.150000000002656,24.099999999999213
2019-05-10T12:30:00+00:00,Consumer Price Index,2,5.618750000000033,14.700000000000824,2.6162402669634237,1,15.700000000000713,-11.699999999999953,-11.699999999999953
2019-06-07T12:30:00+00:00,Employment Situation (NFP),2,6.148958333333302,45.69999999999963,7.432153142469909,1,47.59999999999876,-1.900000000000145,-1.900000000000145
2019-06-12T12:30:00+00:00,Consumer Price Index,2,4.581250000000153,-4.8000000000003595,1.0477489768076835,-1,20.800000000000818,30.000000000000117,27.999999999998117
2019-06-19T18:00:00+00:00,FOMC Statement (scheduled),2,3.670833333333419,23.500000000000743,6.4018161180477255,1,24.800000000000377,35.99999999999945,39.39999999999952
2019-07-05T12:30:00+00:00,Employment Situation (NFP),2,2.7833333333335495,-22.500000000000853,8.083832335329019,-1,22.900000000001253,33.15000000000299,21.999999999998778
2019-07-11T12:30:00+00:00,Consumer Price Index,2,5.1104166666664925,-14.700000000000824,2.8764777823076377,-1,14.399999999998858,20.399999999997178,7.599999999999919
2019-07-31T18:00:00+00:00,FOMC Statement (scheduled),2,3.652083333333389,-25.699999999999612,7.037079292640973,-1,27.600000000000957,40.20000000000032,67.8000000000035
2019-08-02T12:30:00+00:00,Employment Situation (NFP),2,6.737499999999985,-14.700000000000824,2.181818181818309,-1,21.700000000000053,-22.900000000000052,-22.900000000000052
2019-08-13T12:30:00+00:00,Consumer Price Index,2,5.272916666666747,-2.9999999999996696,0.5689450809955826,-1,7.800000000000029,10.500000000001155,18.299999999998963
2019-09-06T12:30:00+00:00,Employment Situation (NFP),2,4.5364583333333774,9.40000000000163,2.072101033295402,1,15.500000000001624,-16.700000000001623,-16.700000000001623
2019-09-12T12:30:00+00:00,Consumer Price Index,2,5.211458333333497,-20.599999999999508,3.9528283030179705,-1,24.300000000001543,-25.500000000001542,-25.500000000001542
2019-09-18T18:00:00+00:00,FOMC Statement (scheduled),2,4.0239583333333275,-29.000000000001247,7.206834066787792,-1,30.09999999999957,-9.999999999999918,-9.999999999999918
2019-10-04T12:30:00+00:00,Employment Situation (NFP),2,5.258333333333319,-15.400000000000968,2.92868462757547,-1,34.50000000000175,-24.500000000001652,-24.500000000001652
2019-10-10T12:30:00+00:00,Consumer Price Index,2,4.726041666666773,-2.100000000000435,0.44434648446117964,-1,8.099999999999774,10.949999999999662,19.049999999999436
2019-10-30T18:00:00+00:00,FOMC Statement (scheduled),2,3.84895833333343,0.700000000000145,0.18186738836268534,1,13.999999999998458,-15.199999999998457,-15.199999999998457
2019-11-01T12:30:00+00:00,Employment Situation (NFP),2,4.556250000000127,-21.699999999997832,4.762688614539858,-1,20.899999999999253,-22.099999999999252,-22.099999999999252
2019-11-13T13:30:00+00:00,Consumer Price Index,2,3.7364583333332018,1.2999999999996348,0.34792305547802993,1,5.599999999998939,-6.799999999998939,-6.799999999998939
2019-12-06T13:30:00+00:00,Employment Situation (NFP),2,3.3406249999999584,-17.80000000000115,5.328344246960186,-1,20.000000000000018,28.799999999998917,19.79999999999991
2019-12-11T13:30:00+00:00,Consumer Price Index,2,3.5093749999999995,6.699999999999484,1.909171861086229,1,6.999999999999229,9.299999999997734,16.299999999999184
2019-12-11T19:00:00+00:00,FOMC Statement (scheduled),2,3.508333333333419,11.099999999999444,3.1638954869356315,1,20.899999999999253,30.14999999999888,28.799999999998917
2020-01-10T13:30:00+00:00,Employment Situation (NFP),2,3.4729166666666127,4.500000000000615,1.2957408518298312,1,4.100000000000215,-5.300000000000215,-5.300000000000215
2020-01-14T13:30:00+00:00,Consumer Price Index,2,3.944791666666674,0.4999999999988347,0.1267494058618644,1,5.099999999997884,-6.299999999997884,-6.299999999997884
2020-01-29T19:00:00+00:00,FOMC Statement (scheduled),2,3.238541666666557,5.699999999999594,1.7600514634930187,1,8.60000000000083,11.700000000002355,4.799999999999339
2020-02-07T13:30:00+00:00,Employment Situation (NFP),2,3.915624999999932,-7.099999999999884,1.8132482043096587,-1,11.499999999999844,-12.699999999999843,-12.699999999999843
2020-02-13T13:30:00+00:00,Consumer Price Index,2,4.307291666666667,-6.099999999999994,1.41620314389359,-1,7.600000000000939,10.20000000000141,17.80000000000235
2020-03-06T13:30:00+00:00,Employment Situation (NFP),2,11.125000000000092,-5.799999999998029,0.5213483146065601,-1,10.699999999999044,-11.899999999999043,-11.899999999999043
2020-03-11T12:30:00+00:00,Consumer Price Index,2,13.436458333333373,-8.900000000000574,0.6623769284441062,-1,11.600000000000499,-12.800000000000498,-12.800000000000498
2020-04-03T12:30:00+00:00,Employment Situation (NFP),2,11.72291666666663,-24.399999999999977,2.081393282388489,-1,30.200000000000227,-31.400000000000226,-31.400000000000226
2020-04-10T12:30:00+00:00,Consumer Price Index,2,7.741666666666661,0.5999999999994898,0.07750269106559617,1,1.9999999999997797,1.7999999999996696,3.799999999999449
2020-04-29T18:00:00+00:00,FOMC Statement (scheduled),2,6.607291666666538,14.100000000001334,2.134005990856305,1,15.199999999999658,-16.399999999999658,-16.399999999999658
2020-05-08T12:30:00+00:00,Employment Situation (NFP),2,6.534375000000018,-14.199999999999768,2.1731229076996237,-1,15.400000000000968,-16.600000000000968,-16.600000000000968
