sample_idx,anchor_ts,weak_label,predicted_label,offset,ts,open,high,low,close,volume
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-20,2024-08-26T08:00:00+00:00,1.11808,1.11848,1.1163,1.11652,38320.79
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-19,2024-08-26T12:00:00+00:00,1.11651,1.11788,1.115,1.11636,65379.39
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-18,2024-08-26T16:00:00+00:00,1.11635,1.11753,1.11586,1.11595,39413.44
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-17,2024-08-26T20:00:00+00:00,1.11596,1.11668,1.11575,1.11644,11037.85
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-16,2024-08-27T00:00:00+00:00,1.11646,1.11706,1.11595,1.11667,22147.67
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-15,2024-08-27T04:00:00+00:00,1.11667,1.11724,1.11612,1.1164,28700.14
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-14,2024-08-27T08:00:00+00:00,1.11638,1.11786,1.11605,1.11605,29664.06
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-13,2024-08-27T12:00:00+00:00,1.11606,1.11718,1.11501,1.11597,56626.8
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-12,2024-08-27T16:00:00+00:00,1.11597,1.11905,1.11595,1.11842,21972.72
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-11,2024-08-27T20:00:00+00:00,1.11841,1.11858,1.11747,1.11769,6003.86
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-10,2024-08-28T00:00:00+00:00,1.11769,1.118,1.11624,1.11657,11186.59
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-9,2024-08-28T04:00:00+00:00,1.11657,1.11679,1.11351,1.11562,22485.26
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-8,2024-08-28T08:00:00+00:00,1.11561,1.11593,1.11173,1.11205,41270.17
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-7,2024-08-28T12:00:00+00:00,1.11206,1.11377,1.1105,1.1126,68276.39
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-6,2024-08-28T16:00:00+00:00,1.11261,1.11261,1.11053,1.11132,38892.85
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-5,2024-08-28T20:00:00+00:00,1.11132,1.11261,1.11123,1.11244,9872.46
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-4,2024-08-29T00:00:00+00:00,1.11245,1.11357,1.11241,1.11356,20936.15
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-3,2024-08-29T04:00:00+00:00,1.11357,1.11399,1.11162,1.11299,24914.52
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-2,2024-08-29T08:00:00+00:00,1.11299,1.11299,1.10719,1.10958,57384.27
18,2024-08-29T16:00:00+00:00,trending,vol_spike,-1,2024-08-29T12:00:00+00:00,1.10956,1.10976,1.10556,1.10848,91667.83
18,2024-08-29T16:00:00+00:00,trending,vol_spike,0,2024-08-29T16:00:00+00:00,1.10849,1.10879,1.10747,1.10757,38167.87
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-50,2024-08-26T12:00:00+00:00,1.11651,1.11788,1.115,1.11636,65379.39
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-49,2024-08-26T16:00:00+00:00,1.11635,1.11753,1.11586,1.11595,39413.44
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-48,2024-08-26T20:00:00+00:00,1.11596,1.11668,1.11575,1.11644,11037.85
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-47,2024-08-27T00:00:00+00:00,1.11646,1.11706,1.11595,1.11667,22147.67
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-46,2024-08-27T04:00:00+00:00,1.11667,1.11724,1.11612,1.1164,28700.14
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-45,2024-08-27T08:00:00+00:00,1.11638,1.11786,1.11605,1.11605,29664.06
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-44,2024-08-27T12:00:00+00:00,1.11606,1.11718,1.11501,1.11597,56626.8
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-43,2024-08-27T16:00:00+00:00,1.11597,1.11905,1.11595,1.11842,21972.72
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-42,2024-08-27T20:00:00+00:00,1.11841,1.11858,1.11747,1.11769,6003.86
19,2024-09-05T16:00:00+00:00,trending,vol_spike,-41,2024-08-28T00:00:00+00:00,1.11769,1.118,1.11624,1.11657,11186.59
